city,zipcode
Auburn,98001
Auburn,98002
Auburn,98092
Bellevue,98004
Bellevue,98005
Bellevue,98006
Bellevue,98007
Bellevue,98008
Black Diamond,98010
Bothell,98011
Bothell,98028
Carnation,98014
Duvall,98019
Enumclaw,98022
Fall City,98024
Federal Way,98003
Federal Way,98023
Issaquah,98027
Issaquah,98029
Issaquah,98075
Kenmore,98030
Kenmore,98031
Kenmore,98032
Kenmore,98042
Kirkland,98034
Maple Valley,98038
Medina,98039
Mercer Island,98040
North Bend,98045
Redmond,98033
Redmond,98052
Redmond,98053
Sammamish,98074
Renton,98055
Renton,98056
Renton,98058
Renton,98059
Seattle,98102
Seattle,98103
Seattle,98105
Seattle,98106
Seattle,98107
Seattle,98108
Seattle,98109
Seattle,98112
Seattle,98115
Seattle,98116
Seattle,98117
Seattle,98118
Seattle,98119
Seattle,98122
Seattle,98125
Seattle,98126
Seattle,98133
Seattle,98136
Seattle,98144
Seattle,98146
Seattle,98148
Seattle,98155
Seattle,98166
Seattle,98168
Seattle,98177
Seattle,98178
Seattle,98188
Seattle,98198
Seattle,98199
Snoqualmie,98065
Vashon,98070
Woodinville,98072
Woodinville,98077
